Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,19.0,LAL,NBA,SF,79.0,40.0,28.8,3.5,8.7,0.402,0.7,2.4,0.294,2.8,6.3,0.443,0.442,1.7,2.7,0.621,0.8,3.2,4.0,2.1,0.6,0.5,1.5,2.0,9.4
2017-18,20.0,LAL,NBA,SF,59.0,59.0,33.5,6.1,12.9,0.47,0.7,1.8,0.39,5.4,11.1,0.483,0.497,3.3,4.8,0.681,1.0,4.4,5.3,3.9,0.8,0.7,2.5,2.8,16.1
2018-19,21.0,LAL,NBA,SF,52.0,52.0,33.8,7.0,14.0,0.497,0.6,1.8,0.33,6.4,12.2,0.521,0.518,3.8,5.6,0.675,0.8,4.3,5.1,3.0,0.5,0.6,2.5,2.9,18.3
2019-20,22.0,NOP,NBA,PF,62.0,62.0,33.9,8.2,17.7,0.463,2.4,6.2,0.391,5.8,11.5,0.501,0.531,5.0,5.9,0.851,0.8,5.3,6.1,4.2,1.0,0.6,3.0,2.9,23.8
2020-21,23.0,NOP,NBA,SF,61.0,61.0,34.3,8.4,18.0,0.466,2.3,6.1,0.381,6.1,11.9,0.51,0.531,4.6,5.2,0.878,0.6,4.3,4.9,4.9,0.7,0.6,2.5,2.0,23.8
2021-22,24.0,NOP,NBA,SF,6.0,6.0,37.0,10.3,22.2,0.466,2.5,5.5,0.455,7.8,16.7,0.47,0.523,1.8,2.7,0.688,1.0,6.3,7.3,4.8,0.3,0.5,3.5,2.8,25.0
Career,,,NBA,,319.0,280.0,32.7,6.5,14.1,0.461,1.4,3.7,0.369,5.2,10.4,0.494,0.509,3.5,4.7,0.756,0.8,4.3,5.1,3.6,0.7,0.6,2.4,2.5,17.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,LAL,NBA,,190.0,151.0,31.7,5.2,11.5,0.458,0.7,2.0,0.329,4.6,9.4,0.485,0.487,2.7,4.1,0.662,0.8,3.9,4.7,2.9,0.6,0.6,2.1,2.5,13.9
3 seasons,,NOP,NBA,,129.0,129.0,34.3,8.4,18.1,0.464,2.4,6.1,0.389,6.0,11.9,0.503,0.53,4.7,5.5,0.859,0.7,4.9,5.6,4.5,0.8,0.6,2.8,2.5,23.9
